id,obiskali,zelijo
1212,1465,7149
1230,2129,6691
252,2011,6393
4334,607,6046
404,3659,5858
17458,2479,5786
166,1823,5767
19170,694,5468
4335,1668,5439
1173,589,5135
2429,1557,5108
2388,467,5053
6159,3024,4874
1311,1269,4857
1748,375,4786
257,3315,4633
13189,1449,4623
1333,323,4448
417,3074,4402
21031,601,4387
1686,1381,4350
212,3566,4293
2962,1009,4254
4742,210,4205
11885,982,4196
576,969,4144
8126,957,4100
6690,603,4016
4707,111,4008
11545,538,3932
2307,1854,3891
15652,954,3840
17935,665,3834
1642,1527,3823
11899,1360,3807
3164,838,3806
16539,1150,3782
2601,346,3767
3614,881,3696
11758,168,3692
4235,534,3672
5256,128,3669
11396,574,3599
185,1552,3597
4017,1488,3571
9726,674,3534
17257,388,3518
4199,592,3481
18245,1534,3488
5835,477,3478
1582,797,3418
12690,662,3416
2997,5743,3414
2360,861,3407
1715,233,3391
6179,803,3379
12610,333,3386
699,2627,3334
1803,715,3319
5216,2000,3267
173,2004,3251
4819,3065,3237
9819,261,3222
4519,723,3217
8444,365,3210
13930,614,3202
12541,472,3193
20040,569,3194
556,3432,3172
21030,582,3169
1380,931,3150
1204,1605,3148
16252,1094,3136
368,460,3105
1123,1783,3101
545,4385,3058
8812,398,3042
9756,780,3016
18168,644,2987
6129,1348,2968
21752,353,2956
2043,523,2951
8307,1408,2906
872,2978,2886
2471,3061,2876
12628,488,2871
6409,374,2871
642,5609,2867
250,403,2844
19683,755,2828
2379,531,2821
898,1898,2803
1022,1702,2799
2424,2105,2795
5638,739,2788
1780,2373,2778
878,2742,2779
27666,226,2773
10308,601,2773
24451,296,2764
8405,4324,2750
2549,2099,2744
1373,2187,2726
260,2496,2713
2666,897,2703
343,2475,2694
4853,1183,2695
2575,759,2676
251,1351,2672
9362,340,2675
15774,465,2671
3143,355,2662
9449,290,2658
7786,1887,2653
16420,367,2635
9054,476,2633
1016,1445,2618
4716,2581,2618
526,810,2606
443,1377,2603
2891,728,2600
1245,769,2597
3615,571,2600
3049,1060,2591
16827,390,2585
10157,789,2580
10552,802,2580
16848,613,2563
12149,353,2570
10133,491,2561
22142,441,2556
1700,1576,2553
18307,283,2557
964,391,2547
1776,835,2533
3010,1346,2529
7508,514,2531
4194,301,2510
15970,672,2505
12870,534,2510
13211,191,2493
865,433,2481
11859,263,2488
644,1783,2476
1711,296,2467
13483,506,2472
9826,131,2470
1754,2056,2442
364,643,2445
2849,323,2440
297,756,2436
947,711,2433
17204,2487,2437
2249,3976,2435
1939,394,2435
14404,205,2419
1385,982,2409
2676,305,2392
4444,703,2394
16874,856,2387
3507,908,2390
6829,2404,2389
8782,3560,2388
4057,983,2376
14767,628,2377
8064,1100,2377
8306,286,2365
22435,607,2355
11952,174,2347
5783,2096,2327
711,2046,2327
19854,1615,2338
5777,3088,2327
805,1733,2323
727,1659,2325
13194,1891,2322
2577,3245,2317
5338,914,2320
8399,653,2318
7643,217,2309
4953,2801,2312
11751,1257,2297
3762,185,2298
6231,580,2293
1721,2931,2294
14598,337,2295
8869,224,2285
12331,446,2282
4354,593,2285
4155,522,2257
1383,390,2263
7681,548,2261
15666,1619,2254
1216,2147,2243
6379,890,2236
9861,378,2227
24190,381,2218
9180,278,2215
317,384,2213
2473,1432,2216
18957,167,2208
5667,413,2204
4034,424,2195
840,421,2194
1624,151,2191
899,299,2184
629,933,2191
1198,740,2187
17600,531,2184
5609,355,2183
6601,698,2184
1775,639,2178
24382,280,2183
8304,476,2175
29670,720,2181
4452,649,2171
8858,2900,2170
7501,357,2168
21223,528,2162
17752,1185,2165
5108,687,2162
1370,831,2155
21614,340,2155
11816,327,2152
228,1118,2150
6348,312,2150
2384,206,2136
2091,556,2131
1804,572,2130
5500,292,2118
5485,211,2116
11814,632,2123
10661,1102,2109
1701,133,2105
5371,441,2105
2783,2132,2115
5677,200,2107
1359,228,2100
1907,319,2101
10396,266,2101
1044,444,2099
1712,227,2094
4154,886,2092
20792,170,2092
1176,586,2089
1371,696,2085
4946,404,2088
456,1451,2079
1767,1473,2077
11500,775,2070
10800,230,2063
6541,73,2062
833,845,2061
213,491,2058
943,377,2049
6683,324,2053
1115,1841,2041
1038,1089,2043
9760,646,2045
6333,606,2038
20433,471,2034
7852,905,2038
5018,831,2034
12180,236,2032
4626,3165,2031
4512,1169,2022
15651,969,2025
9066,99,2015
19424,297,2016
6158,269,2009
8218,1091,2008
15492,427,1999
2638,2022,1996
25677,1019,2002
20568,139,1997
2720,327,1991
5157,1994,1993
2465,719,1991
14594,175,1983
7526,323,1978
7617,2160,1976
5225,868,1980
2163,541,1970
4888,199,1961
7380,549,1968
1515,1239,1965
139,4832,1961
16259,1571,1965
14290,769,1966
708,1146,1954
145,709,1945
7227,151,1940
4131,2036,1944
3452,306,1940
2714,315,1939
5316,3107,1938
16739,3021,1934
11423,226,1927
18994,463,1926
700,422,1926
2165,753,1926
21703,2167,1922
7507,1598,1927
6771,688,1916
17657,216,1914
797,1168,1915
20224,804,1914
11928,873,1931
1121,1448,1911
8355,3225,1905
10720,529,1891
13071,458,1894
1738,925,1899
1667,917,1888
3399,308,1892
6292,297,1886
17468,1167,1888
15578,272,1882
532,1278,1879
3924,1238,1876
1152,461,1876
15283,384,1875
6655,767,1869
752,2562,1874
1351,415,1873
17598,308,1862
7383,2159,1862
5368,2303,1860
620,1369,1857
11603,1225,1853
1989,369,1856
16957,325,1855
7585,835,1856
5222,1409,1851
1051,320,1847
1133,323,1843
10833,326,1843
9554,524,1835
21179,263,1836
301,737,1841
8651,4950,1834
177,828,1837
7656,778,1831
27889,954,1839
5608,1917,1829
14389,169,1828
974,149,1828
1177,970,1825
13338,494,1824
826,439,1820
2420,250,1826
19217,519,1824
10642,3127,1819
18547,2709,1820
4671,2220,1821
15496,1428,1817
342,765,1819
23580,527,1806
8863,3709,1810
5025,1327,1814
24429,129,1813
5778,1739,1807
474,981,1810
6243,285,1795
5561,122,1788
18649,319,1784
13558,768,1788
15761,352,1791
13222,97,1785
12254,191,1782
4443,156,1786
748,872,1778
1566,2727,1780
2034,379,1776
9115,1698,1771
399,1332,1776
6137,549,1776
6419,1247,1776
1496,530,1774
24029,385,1772
8119,1999,1769
6850,546,1763
8855,498,1766
7194,78,1766
1266,1213,1764
5137,386,1766
7901,1963,1760
1676,281,1756
11863,692,1756
20305,1238,1751
22598,571,1747
16105,581,1748
1556,3107,1742
9048,668,1744
22334,308,1741
2144,1416,1745
2532,1706,1744
21213,458,1741
16240,425,1739
468,572,1731
14506,496,1721
3959,222,1726
7732,1204,1720
15394,364,1722
1852,556,1718
376,496,1720
9098,438,1715
5583,653,1711
3076,217,1715
8113,1229,1714
19012,1425,1708
357,1445,1708
7612,223,1710
15971,218,1708
13237,524,1711
19843,759,1703
7702,439,1699
6246,294,1702
968,294,1696
4126,1807,1698
965,771,1696
4389,278,1696
506,461,1702
2964,93,1693
9744,1475,1695
1151,461,1694
2852,2060,1694
9614,430,1683
5868,336,1691
7546,137,1691
1616,1226,1687
1335,364,1690
3831,479,1685
237,188,1682
3108,509,1683
11363,148,1684
8741,399,1678
309,315,1681
20605,428,1685
6393,859,1676
1434,639,1671
2099,1102,1676
855,431,1672
13130,374,1667
4895,2018,1668
22129,149,1665
625,588,1667
1018,2645,1665
9368,151,1661
11731,235,1668
12297,1079,1662
20596,141,1658
18174,218,1658
4549,364,1656
8455,428,1656
16546,451,1649
12652,458,1652
4349,719,1651
550,1218,1651
6122,167,1644
18698,387,1646
29951,834,1639
5952,420,1642
261,174,1642
1135,472,1639
3857,849,1643
5145,205,1644
11613,386,1642
12294,495,1633
635,1413,1638
10166,713,1640
14428,310,1639
9038,565,1632
154,811,1632
25030,142,1630
1407,750,1635
4843,453,1635
4875,502,1624
300,723,1624
854,1818,1619
10134,850,1616
16979,381,1615
13984,307,1615
2268,848,1618
26031,225,1612
2005,1678,1615
25611,320,1616
12299,421,1606
17145,915,1608
7009,415,1607
11446,281,1608
13118,1418,1607
4535,769,1606
14514,348,1599
20009,147,1603
4440,219,1601
16574,367,1592
1644,1241,1599
6359,458,1594
4750,241,1596
5603,266,1589
13191,709,1589
7922,163,1583
2892,256,1582
16601,251,1585
11791,1319,1581
6410,732,1585
16444,108,1579
1585,390,1579
21051,144,1580
12409,256,1579
11074,501,1590
2930,394,1575
12373,678,1571
2320,1781,1568
4642,86,1566
29792,142,1561
330,156,1562
198,2319,1568
9248,429,1564
28713,594,1566
23893,682,1560
20774,1878,1557
13201,486,1562
6178,548,1557
459,2074,1552
11572,600,1555
2090,287,1554
369,60,1549
10490,221,1548
17959,721,1548
4457,1543,1552
12526,60,1539
8598,699,1543
12712,176,1541
2883,106,1539
5632,804,1534
4224,546,1535
19163,193,1535
