id,destinacija,lokacija,sirina,dolzina,opis,url,obiskanost
2997,Alcatraz Island,"San Francisco, California",37.8267,-122.423,"In all of the 29 years it was in operation, no prisoners ever escaped successfully... or so they claim.",https://www.atlasobscura.com/places/alcatraz-island,1
642,The High Line,"New York, New York",40.7392,-74.0083,Elevated freight railway turned wildly successful urban park.,https://www.atlasobscura.com/places/highline,2
8651,Sagrada Família,"Barcelona, Spain",41.4036,2.1744,Construction of Barcelona's iconic (but controversial) church is expected to be completed in 2026—a century after the death of its architect.,https://www.atlasobscura.com/places/sagrada-familia,3
139,Prague Astronomical Clock ,"Prague, Czechia",50.087,14.4208,Macabre astrological automaton clock dating to the late 1400s.,https://www.atlasobscura.com/places/prague-astronomical-clock,4
5074,Faneuil Hall,"Boston, Massachusetts",42.36,-71.0562,A former waterfront market is now in the center of town due to some interesting Boston engineering.,https://www.atlasobscura.com/places/faneuil-hall,5
545,Fremont Troll,"Seattle, Washington",47.6512,-122.3477,A giant Troll lurks under one of Seattle's oldest bridges.,https://www.atlasobscura.com/places/fremont-troll,6
8405,Platform 9 3/4,"London, England",51.5322,-0.124,Kings Cross Station pays tribute to its role in Britain's best-selling book series.,https://www.atlasobscura.com/places/platform-9-3-4,7
807,Gum Wall,"Seattle, Washington",47.6081,-122.3403,A wall of chewing gum moonlights as collective art.,https://www.atlasobscura.com/places/gum-wall,8
2249,Museum of Pop Culture,"Seattle, Washington",47.6216,-122.3481,A museum dedicated to the history and exploration of both popular music and science fiction. ,https://www.atlasobscura.com/places/museum-of-pop-culture,9
10647,Crown Fountain,"Chicago, Illinois",41.8834,-87.6218,The twin towers in this Chicago fountain use 50 foot tall video screens to spit on people.,https://www.atlasobscura.com/places/crown-fountain,10
6784,Palace of Fine Arts,"San Francisco, California",37.8029,-122.4482,The last remaining relic of San Francisco's glittering 1915 Panama Pacific Exposition.,https://www.atlasobscura.com/places/palace-of-fine-arts,11
8863,Natural History Museum of London,"London, England",51.4966,-0.1765,Eighty million natural history specimens call this gargantuan museum home.,https://www.atlasobscura.com/places/natural-history-museum,12
404,Catacombes de Paris,"Paris, France",48.8343,2.3322,The Catacombs hold secrets much stranger than the bones stacked within them.,https://www.atlasobscura.com/places/catacombes-de-paris,13
212,Mütter Museum,"Philadelphia, Pennsylvania",39.9535,-75.1768,America's most famous museum of medical oddities is home to the remains of Albert Einstein's brain.,https://www.atlasobscura.com/places/mutter-museum,14
8782,Hollywood Sign,"Los Angeles, California",34.1347,-118.3209,"Hollywood's most famous landmark, the ""temporary"" sign that has stood for decades longer than intended.",https://www.atlasobscura.com/places/hollywood-sign,15
15408,Memorial to the Murdered Jews of Europe ,"Berlin, Germany",52.5139,13.3789,Thousands of coffin-like pillars make up this controversial Holocaust memorial.,https://www.atlasobscura.com/places/memorial-to-the-murdered-jews-of-europe,16
