id,destinacija,lokacija,sirina,dolzina,opis,url,priljubljenost
1212,City Hall Station,"New York, New York",40.7134,-74.0046,"A beautiful and abandoned New York subway station from 1904, complete with chandelier.",https://www.atlasobscura.com/places/city-hall-station,1
1230,Highgate Cemetery,"London, England",51.5675,-0.1483,London's creepiest cemetery was once the site of dueling magicians and mobs of stake-carrying vampire hunters.,https://www.atlasobscura.com/places/highgate-cemetery,2
252,The Wave Organ,"San Francisco, California",37.8085,-122.4401,A huge musical instrument played by the ocean.,https://www.atlasobscura.com/places/wave-organ,3
4334,Underground Tunnels of Los Angeles,"Los Angeles, California",34.0558,-118.2447,"During prohibition, corrupt city officials ran drinking dens under the streets of Downtown Los Angeles.
",https://www.atlasobscura.com/places/underground-tunnels-los-angeles,4
404,Catacombes de Paris,"Paris, France",48.8343,2.3322,The Catacombs hold secrets much stranger than the bones stacked within them.,https://www.atlasobscura.com/places/catacombes-de-paris,5
17458,Leadenhall Market,"London, England",51.5126,-0.0834,This ornate Victorian marketplace was the setting for Diagon Alley and the Leaky Cauldron in the Harry Potter films.,https://www.atlasobscura.com/places/leadenhall-market,6
166,The Evolution Store,"New York, New York",40.7281,-73.9948,A terrific purveyor of natural history objects and curios.,https://www.atlasobscura.com/places/evolution-store,7
19170,Magowan's Infinite Mirror Maze,"San Francisco, California",37.81,-122.4104,A psychedelic labyrinth on the San Francisco bay.,https://www.atlasobscura.com/places/magowans-infinite-mirror-maze,8
4335,Secret Tiled Staircase,"San Francisco, California",37.7563,-122.4735,An artsy hidden staircase leads to breathtaking views of San Francisco.,https://www.atlasobscura.com/places/secret-tiled-staircase,9
1173,Dream House,"New York, New York",40.7185,-74.0048,"La Monte Young and Marian Zazeela's ""Dream House"" will immerse you in an ever changing world of sound and light.",https://www.atlasobscura.com/places/dream-house,10
2429,The Museum of Death,"Los Angeles, California",34.1017,-118.3212,World's largest collection of serial killer artwork and other macabre exhibits.,https://www.atlasobscura.com/places/the-museum-of-death-los-angeles-california,11
2388,Fingal's Cave,"Isle of Staffa, Scotland",56.4314,-6.3413,This astonishingly geometric cave has inspired everyone from Jules Verne to Pink Floyd.,https://www.atlasobscura.com/places/fingal-s-cave,12
6159,The Last Bookstore,"Los Angeles, California",34.0477,-118.2494,This iconic L.A. bookshop is housed in an abandoned bank—both symbolic and chic.,https://www.atlasobscura.com/places/last-bookstore,13
